,brand_name,item_name,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv
40,Honey Dew Donuts,Coconut Coffee small shot,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
41,Kahala Coffee Traders,"Chai Tea Latte, Regular",140.0,60.0,7.0,4.0,0.0,0.02,0.1,13.0,0.0,13.0,7.0,6.0,0.0,25.0,0.0
42,Fleming's Prime Steakhouse,Fried Calamari With Chili Sauce,350.0,140.17090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Village Inn,Under 550 Calories Garden Veggie Omelette,435.0,200.0,22.0,3.0,0.0,0.08,0.98,40.0,3.0,11.0,23.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
45,Pizza Inn,"A La Carte Pizza, Individual, New York Crust, 1 Topping",715.0,281.0,31.0,8.9,0.1,0.039,1.4,82.0,3.7,4.9,26.0,14.0,7.0,42.0,8.0
46,Eat'n Park,Buttermilk Pancakes (2 pancakes),149.0,140.17090909090908,2.0,6.349375,0.173015873015873,0.008,0.469,28.0,1.0,14.420270270270272,4.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
47,Pizza Inn,"Bavarian Cream Pizzert, Individual",284.0,51.0,5.6,0.5,0.7,0.0,0.176,59.0,0.2,41.0,0.8,0.0,0.0,0.0,2.0
48,Boston Pizza,Genovese Pesto - Individual Pizza,780.0,140.17090909090908,47.0,15.0,0.5,0.065,1.32,60.0,6.0,3.0,33.0,25.0,80.0,60.0,35.0
49,Rally's,Strawberry Shake - Large,660.0,180.0,20.0,14.0,0.5,0.08,0.31,106.0,0.0,79.0,14.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
50,Souplantation & Sweet Tomatoes,Linguini w/ Clam Sauce,380.0,140.17090909090908,10.0,7.0,0.5,0.04,0.89,56.0,1.0,3.0,16.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
51,Benihana,Salmon 99.05 g,192.0,115.0,12.0,3.0,0.0,0.04976527777777778,0.012,0.0,2.6653846153846152,14.420270270270272,19.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
52,Beef o Brady's,Basket of Straight Fries with Chili Cheese Dip,910.0,470.0,53.0,14.0,1.0,0.03,2.32,98.0,7.0,2.0,15.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
53,4food,The health nut Sandwich,395.0,140.17090909090908,15.0,2.0,0.0,0.073,0.539,21.0,2.0,3.0,31.0,475.0,25.0,7.0,39.0
54,Farmer Boys,4 pc Hand Battered Fish Dinner,1933.0,140.17090909090908,102.0,21.0,0.0,0.106,3.117,201.0,11.0,9.0,53.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
55,The Coffee Bean,12 oz Tea Latte Over Ice Chocolate Powder,120.0,0.0,0.0,2.0,0.173015873015873,0.0,0.15,24.0,0.0,0.0,14.825925925925928,36.53846153846154,13.128205128205128,13.675,12.894736842105264
